latitude,longitude,chainage_km,elevation_m,slope_deg,aspect_deg,twi,lithology,daily_rainfall_mm,api_11,soil_moisture,pore_pressure_kpa,factor_of_safety,risk_level
25.72326,91.91192,67.68,1367.2,38.6,77.6,7.87,Weathered Regolith / Phyllite,145.3,199.1,0.639,22.3,0.674,3
25.87376,91.82653,55.07,977.6,36.96,298.4,6.03,Weathered Regolith / Phyllite,11.7,73.5,0.396,8.22,1.125,2
25.74632,91.82948,49.84,721.4,43.22,332.6,7.63,Weathered Regolith / Phyllite,11.8,65.0,0.375,7.96,0.975,3
25.72585,91.87237,62.11,1212.4,50.68,228.8,6.08,Weathered Regolith / Phyllite,101.5,171.4,0.528,18.65,0.658,3
25.79653,91.85839,41.1,502.2,42.35,38.1,8.56,Weathered Regolith / Phyllite,31.4,110.0,0.407,13.11,0.849,3
25.68805,91.85021,54.24,865.9,41.55,322.3,6.34,Weathered Regolith / Phyllite,29.1,112.6,0.449,12.5,0.884,3
25.86659,91.85653,50.09,766.6,45.51,285.3,7.58,Colluvial Debris,106.1,158.7,0.553,17.9,0.653,3
25.67013,91.92445,67.62,1383.2,36.79,270.3,7.91,Weathered Regolith / Phyllite,17.6,104.2,0.419,12.24,1.013,2
25.91646,91.9408,40.36,369.6,49.14,13.2,8.97,Shillong Quartzite,30.8,94.4,0.373,11.62,0.77,3
25.85851,91.87266,56.58,925.7,37.53,287.6,8.22,Weathered Regolith / Phyllite,19.0,108.2,0.437,12.78,0.976,3
25.70365,91.93779,62.22,1141.1,47.04,49.7,6.88,Weathered Regolith / Phyllite,31.4,90.3,0.385,10.34,0.838,3
25.65149,91.86179,54.55,907.2,47.21,80.1,6.71,Colluvial Debris,47.4,126.5,0.466,14.13,0.729,3
25.87017,91.88194,42.56,506.4,46.21,207.8,6.26,Weathered Regolith / Phyllite,94.0,189.8,0.633,20.67,0.646,3
25.84085,91.84938,69.17,1406.3,44.9,95.4,8.23,Colluvial Debris,26.8,106.4,0.458,12.59,0.813,3
25.84683,91.90326,55.54,1021.1,34.08,238.1,8.44,Weathered Regolith / Phyllite,53.8,130.9,0.482,15.28,1.006,3
25.85824,91.94727,58.43,1085.9,49.91,218.9,7.67,Shillong Quartzite,64.6,112.6,0.44,13.04,0.718,3
25.66999,91.89845,47.1,666.5,25.66,38.9,6.45,Colluvial Debris,13.8,120.5,0.439,13.38,1.436,1
25.74679,91.86652,54.5,890.5,41.46,236.2,8.37,Weathered Regolith / Phyllite,5.3,76.1,0.353,9.43,0.972,3
25.68128,91.90422,52.87,853.4,44.95,332.6,7.93,Weathered Regolith / Phyllite,47.7,154.3,0.55,17.57,0.673,3
25.88304,91.83598,42.25,522.7,40.9,58.0,9.19,Granite Gneiss,6.7,159.1,0.55,18.58,0.727,3
25.81829,91.93553,43.18,548.3,38.02,214.9,8.03,Weathered Regolith / Phyllite,142.4,297.3,0.812,24.0,0.665,3
25.73934,91.8854,65.12,1315.7,44.17,123.1,7.04,Shillong Quartzite,0.6,126.8,0.435,14.28,0.779,3
25.66716,91.87842,47.19,639.7,46.58,165.5,7.19,Weathered Regolith / Phyllite,71.2,178.7,0.548,19.86,0.647,3
25.73397,91.89616,45.85,583.8,47.71,103.3,6.43,Weathered Regolith / Phyllite,24.9,103.2,0.453,11.54,0.794,3
25.7378,91.90122,55.15,873.1,45.65,127.5,8.11,Weathered Regolith / Phyllite,152.2,220.1,0.598,24.0,0.646,3
25.84699,91.82933,63.06,1228.3,44.81,10.4,8.1,Colluvial Debris,14.2,69.5,0.279,8.63,0.925,3
25.82214,91.90874,41.86,404.3,47.36,353.4,6.55,Weathered Regolith / Phyllite,134.2,202.7,0.601,22.16,0.648,3
25.88955,91.85145,57.3,1005.0,44.12,224.9,6.48,Weathered Regolith / Phyllite,7.2,84.0,0.395,9.52,0.914,3
25.7775,91.91281,43.58,508.4,34.53,180.3,6.37,Shillong Quartzite,8.6,79.0,0.343,8.94,1.181,2
25.68229,91.92693,41.09,447.2,34.78,138.1,9.11,Weathered Regolith / Phyllite,1.5,71.4,0.304,9.23,1.164,2
25.84258,91.92451,41.58,502.0,41.58,194.2,6.88,Weathered Regolith / Phyllite,79.0,244.3,0.732,24.0,0.65,3
25.85541,91.89183,65.02,1330.0,34.88,136.8,7.5,Weathered Regolith / Phyllite,92.1,202.2,0.641,22.48,0.765,3
25.80154,91.88762,43.54,552.0,27.02,129.6,7.6,Granite Gneiss,169.3,294.7,0.85,24.0,0.993,3
25.85816,91.83857,41.35,416.8,48.0,167.0,7.23,Shillong Quartzite,32.6,158.9,0.584,17.78,0.649,3
25.78332,91.92079,53.14,858.9,51.39,99.4,7.89,Weathered Regolith / Phyllite,58.1,160.1,0.581,18.16,0.662,3
25.79114,91.85528,65.32,1251.2,37.4,64.8,8.85,Weathered Regolith / Phyllite,30.6,121.6,0.47,14.46,0.93,3
25.76544,91.88457,47.87,649.4,38.26,200.4,6.79,Shillong Quartzite,23.1,113.5,0.426,12.78,0.956,3
25.65686,91.85696,52.65,862.1,36.87,303.4,8.33,Granite Gneiss,34.7,84.6,0.383,10.31,1.066,2
25.67913,91.8374,41.2,403.0,42.28,55.0,7.25,Weathered Regolith / Phyllite,38.9,134.5,0.459,15.19,0.792,3
25.65849,91.90184,53.47,853.4,34.92,11.8,9.57,Weathered Regolith / Phyllite,5.8,99.5,0.434,12.4,1.065,2
25.82183,91.82706,57.33,963.7,38.26,88.9,7.23,Weathered Regolith / Phyllite,3.3,52.3,0.275,6.45,1.138,2
25.73488,91.91732,57.13,1025.8,45.44,352.7,5.37,Shillong Quartzite,2.2,93.0,0.354,10.03,0.874,3
25.78731,91.86129,49.97,734.6,33.8,298.4,8.01,Colluvial Debris,13.1,118.2,0.478,13.76,1.061,3
25.89504,91.82002,49.47,642.7,39.53,214.5,6.6,Weathered Regolith / Phyllite,19.3,124.7,0.397,13.89,0.892,3
25.71731,91.88645,43.2,577.3,31.53,334.5,6.24,Weathered Regolith / Phyllite,26.8,138.5,0.461,15.21,1.098,3
25.7608,91.82609,51.0,825.7,32.24,160.3,8.53,Weathered Regolith / Phyllite,176.2,282.0,0.824,24.0,0.799,3
25.854,91.8559,42.98,423.9,30.8,354.0,8.68,Weathered Regolith / Phyllite,11.2,86.0,0.366,10.61,1.272,1
25.71178,91.91191,63.0,1234.3,42.64,106.7,7.55,Weathered Regolith / Phyllite,40.1,125.8,0.452,14.39,0.807,3
25.67078,91.82815,68.99,1475.5,39.18,86.5,8.22,Colluvial Debris,91.0,162.3,0.495,18.53,0.768,3
25.72823,91.92911,69.1,1411.1,25.97,229.7,8.38,Weathered Regolith / Phyllite,7.0,97.6,0.356,11.73,1.477,1
25.69353,91.8205,65.95,1314.3,40.29,136.1,8.06,Granite Gneiss,26.7,174.4,0.556,19.75,0.707,3
25.90102,91.85209,58.02,1018.1,30.85,225.5,8.33,Weathered Regolith / Phyllite,95.7,187.2,0.532,21.22,0.933,3
25.86819,91.91632,61.03,1156.7,50.23,109.8,7.8,Granite Gneiss,3.7,77.0,0.349,9.3,0.82,3
25.82102,91.86112,48.56,740.8,45.64,222.5,6.61,Shillong Quartzite,19.8,131.3,0.514,14.59,0.743,3
25.88529,91.83325,58.92,1014.7,47.18,99.3,6.81,Weathered Regolith / Phyllite,85.0,206.6,0.676,22.68,0.647,3
25.86699,91.86683,53.67,850.2,45.59,18.3,7.39,Colluvial Debris,10.8,114.8,0.454,13.15,0.785,3
25.70037,91.85515,54.46,910.2,40.3,328.4,7.59,Weathered Regolith / Phyllite,122.8,253.7,0.746,24.0,0.654,3
25.89099,91.92955,62.73,1208.1,46.01,318.0,8.24,Shillong Quartzite,51.5,148.2,0.503,17.04,0.668,3
25.79562,91.86074,48.46,712.3,36.51,349.5,7.5,Colluvial Debris,36.7,133.1,0.475,15.14,0.936,3
25.86801,91.92256,49.54,726.2,41.05,257.9,6.6,Weathered Regolith / Phyllite,17.4,90.4,0.345,10.25,0.959,3
25.89194,91.93594,67.74,1335.6,32.13,245.8,7.29,Shillong Quartzite,67.2,145.2,0.477,16.35,1.04,3
25.73586,91.8764,41.69,498.4,52.2,201.2,6.44,Granite Gneiss,10.1,69.1,0.272,7.92,0.836,3
25.67971,91.93829,54.57,861.1,29.87,45.3,8.71,Colluvial Debris,39.3,149.1,0.542,17.33,1.096,3
25.71154,91.86905,67.38,1338.7,39.52,68.1,7.68,Granite Gneiss,18.0,149.9,0.506,17.0,0.803,3
25.76532,91.94533,58.31,1041.6,34.43,104.2,8.47,Weathered Regolith / Phyllite,64.1,104.7,0.482,12.51,1.078,2
25.87086,91.83161,56.39,993.1,52.21,320.5,7.09,Shillong Quartzite,44.7,119.1,0.421,13.49,0.675,3
25.8824,91.90931,47.49,650.6,40.62,62.3,8.8,Granite Gneiss,64.9,144.9,0.499,16.92,0.78,3
25.65188,91.8842,50.3,790.6,34.17,332.2,9.64,Shillong Quartzite,6.8,109.3,0.446,13.47,1.057,2
25.7879,91.87039,65.56,1344.7,44.16,188.2,8.03,Colluvial Debris,30.9,86.0,0.384,10.35,0.89,3
25.7627,91.90225,56.78,962.3,49.73,257.6,8.39,Weathered Regolith / Phyllite,37.6,101.3,0.4,12.12,0.747,3
25.70997,91.9115,55.44,956.1,40.31,39.7,7.75,Weathered Regolith / Phyllite,38.0,95.1,0.453,11.2,0.949,3
25.68236,91.82057,42.99,514.4,32.83,96.9,9.29,Shillong Quartzite,83.2,210.5,0.61,24.0,0.78,3
25.74116,91.8417,40.48,403.2,35.83,345.1,8.77,Colluvial Debris,0.3,144.5,0.521,16.86,0.905,3
25.90459,91.9127,68.91,1335.6,48.49,95.8,9.29,Shillong Quartzite,8.5,50.5,0.275,7.08,0.907,3
25.73726,91.90663,51.31,810.0,46.71,106.7,7.82,Colluvial Debris,10.9,92.3,0.378,10.93,0.827,3
25.79007,91.94559,58.1,1051.9,36.12,71.1,8.6,Colluvial Debris,53.5,84.4,0.375,10.41,1.086,2
25.83982,91.91893,42.39,527.2,38.65,46.5,7.9,Colluvial Debris,51.5,168.3,0.546,19.04,0.766,3
25.74818,91.9436,60.49,1103.9,43.26,84.0,6.92,Colluvial Debris,3.1,78.3,0.346,9.09,0.943,3
25.91238,91.91133,67.98,1352.5,46.12,231.2,7.13,Colluvial Debris,83.8,165.6,0.489,18.44,0.646,3
25.90986,91.85875,57.27,967.9,44.18,163.9,8.7,Granite Gneiss,5.6,83.9,0.397,10.39,0.888,3
25.71798,91.8337,43.78,412.5,45.19,199.4,5.83,Shillong Quartzite,15.0,117.1,0.382,12.77,0.802,3
25.78426,91.92164,57.45,994.6,35.11,44.1,8.15,Weathered Regolith / Phyllite,6.8,67.9,0.381,8.48,1.175,2
25.73124,91.90374,62.99,1315.3,48.03,288.8,7.11,Weathered Regolith / Phyllite,55.1,107.4,0.413,12.26,0.768,3
25.72691,91.82626,52.19,877.6,52.8,282.3,6.98,Weathered Regolith / Phyllite,38.7,128.9,0.497,14.49,0.67,3
25.65996,91.86681,66.4,1284.1,43.27,7.8,8.69,Weathered Regolith / Phyllite,86.4,142.1,0.405,16.58,0.733,3
25.81458,91.94438,59.46,1060.5,40.21,138.1,8.69,Weathered Regolith / Phyllite,32.1,118.6,0.439,14.07,0.87,3
25.78572,91.88505,66.98,1323.4,28.89,24.8,8.41,Colluvial Debris,5.7,146.4,0.502,16.91,1.151,2
25.6639,91.87625,58.71,1110.6,39.64,285.2,7.09,Shillong Quartzite,13.5,122.3,0.417,13.83,0.891,3
25.72523,91.8795,43.94,626.8,26.46,265.4,8.2,Weathered Regolith / Phyllite,13.3,106.6,0.445,12.6,1.418,1
25.89523,91.84715,49.29,728.8,38.74,324.7,7.54,Granite Gneiss,7.6,149.1,0.486,16.85,0.827,3
25.71468,91.86793,46.05,622.4,29.54,85.1,7.73,Shillong Quartzite,58.5,134.3,0.444,15.36,1.173,2
25.68912,91.86808,67.26,1375.1,46.74,164.3,6.09,Weathered Regolith / Phyllite,31.8,153.8,0.505,16.78,0.663,3
25.78215,91.82681,62.81,1197.8,30.15,66.4,8.22,Colluvial Debris,9.2,95.1,0.424,11.4,1.275,1
25.91613,91.91978,60.29,1121.5,39.3,133.6,7.2,Weathered Regolith / Phyllite,7.8,74.2,0.353,8.77,1.043,2
25.71535,91.87415,49.03,717.9,42.78,188.0,8.05,Shillong Quartzite,0.5,75.0,0.359,9.19,0.95,3
25.83148,91.92688,45.52,612.4,27.67,19.2,7.7,Weathered Regolith / Phyllite,11.9,64.2,0.349,7.91,1.513,1
25.85564,91.93055,62.69,1114.2,37.9,257.4,7.63,Shillong Quartzite,20.9,86.2,0.362,10.21,1.04,2
25.71416,91.84756,54.22,878.7,52.56,195.6,5.55,Granite Gneiss,101.5,145.7,0.538,15.7,0.669,3
25.84662,91.90546,46.77,589.7,32.45,298.4,9.88,Weathered Regolith / Phyllite,33.8,134.2,0.489,16.21,1.033,3
25.7493,91.8814,58.5,1075.1,35.86,97.8,7.91,Colluvial Debris,14.9,112.6,0.458,13.13,1.014,3
25.82072,91.93442,41.21,410.9,41.41,325.2,5.69,Weathered Regolith / Phyllite,10.6,116.9,0.409,12.7,0.881,3
25.82105,91.84805,49.79,679.9,39.09,359.5,7.88,Shillong Quartzite,78.3,207.0,0.639,23.15,0.66,3
25.79466,91.90812,54.06,820.4,50.68,330.9,8.38,Colluvial Debris,8.5,52.6,0.33,6.94,0.882,3
25.67438,91.89901,44.44,573.3,46.3,280.0,8.22,Colluvial Debris,14.2,108.1,0.484,12.78,0.782,3
25.87553,91.85839,69.54,1396.7,43.41,292.5,8.13,Weathered Regolith / Phyllite,13.5,63.8,0.358,8.03,0.97,3
25.73661,91.83776,46.27,614.0,27.85,206.5,6.99,Weathered Regolith / Phyllite,7.7,55.9,0.342,6.74,1.542,1
25.70036,91.90471,43.91,600.2,38.66,68.5,8.19,Granite Gneiss,6.9,67.6,0.273,8.45,1.069,2
25.66101,91.91602,46.11,628.7,46.32,243.7,8.21,Weathered Regolith / Phyllite,10.1,85.0,0.356,10.32,0.851,3
25.80954,91.86103,63.07,1187.1,39.49,256.6,7.94,Shillong Quartzite,55.9,141.6,0.514,16.22,0.826,3
25.83294,91.90383,52.77,799.8,34.56,354.7,9.04,Granite Gneiss,40.8,188.5,0.545,21.64,0.8,3
25.65448,91.87137,56.96,1011.1,39.34,194.9,7.12,Shillong Quartzite,32.0,175.6,0.582,19.51,0.736,3
25.78827,91.91272,40.63,416.9,40.88,97.7,6.94,Weathered Regolith / Phyllite,17.1,67.0,0.314,7.89,1.029,2
25.71115,91.8459,41.03,459.3,32.85,246.1,9.01,Shillong Quartzite,19.8,106.5,0.403,12.92,1.12,2
25.8242,91.93573,53.37,772.8,44.63,352.6,7.9,Colluvial Debris,8.7,112.3,0.43,13.09,0.804,3
25.69708,91.85736,64.5,1303.0,31.69,63.8,5.8,Shillong Quartzite,2.2,106.8,0.429,11.67,1.202,2
25.83655,91.86781,66.56,1261.0,36.99,117.4,7.44,Granite Gneiss,11.3,131.9,0.5,15.0,0.926,3
25.75442,91.82755,42.6,471.7,34.66,195.1,8.9,Weathered Regolith / Phyllite,110.2,181.3,0.536,20.83,0.821,3
25.90292,91.8345,56.15,1020.9,47.88,61.3,5.5,Weathered Regolith / Phyllite,1.7,109.7,0.459,11.85,0.782,3
25.68713,91.88706,67.4,1269.5,34.42,8.0,5.72,Weathered Regolith / Phyllite,2.6,96.9,0.418,10.58,1.136,2
25.74209,91.85479,51.64,803.9,32.45,121.3,7.39,Shillong Quartzite,8.5,80.4,0.347,9.5,1.24,2
25.68064,91.92861,64.89,1260.1,36.81,311.5,9.04,Weathered Regolith / Phyllite,12.8,87.3,0.41,10.9,1.051,2
25.89967,91.82191,44.01,539.2,35.16,15.6,9.05,Shillong Quartzite,14.0,126.8,0.392,15.09,0.977,3
25.88688,91.86928,68.06,1396.4,49.73,154.4,7.45,Granite Gneiss,3.5,155.9,0.53,17.54,0.654,3
25.71964,91.86385,62.54,1189.6,35.49,274.4,8.04,Granite Gneiss,7.2,90.4,0.357,10.82,1.093,2
25.8282,91.82251,68.24,1334.8,51.12,343.1,6.88,Weathered Regolith / Phyllite,148.5,214.4,0.61,23.53,0.661,3
25.87065,91.83617,60.3,1114.3,37.95,354.8,7.05,Granite Gneiss,2.0,60.8,0.254,7.28,1.123,2
25.7999,91.87377,50.9,780.8,46.22,151.9,8.35,Shillong Quartzite,11.1,90.1,0.403,10.91,0.836,3
25.79301,91.88407,68.15,1382.7,34.57,342.1,6.55,Weathered Regolith / Phyllite,2.1,117.0,0.458,13.05,1.057,3
25.7153,91.87256,48.27,772.8,48.95,12.8,7.4,Weathered Regolith / Phyllite,34.0,88.6,0.423,10.37,0.808,3
25.67514,91.88902,49.97,802.3,42.0,268.5,8.01,Shillong Quartzite,13.7,152.7,0.543,17.43,0.735,3
25.89225,91.89737,61.02,1208.9,33.3,231.4,6.58,Weathered Regolith / Phyllite,11.1,47.3,0.272,5.66,1.325,1
25.89311,91.82129,62.96,1217.3,50.06,89.8,7.44,Weathered Regolith / Phyllite,3.8,85.9,0.478,10.1,0.8,3
25.82094,91.88033,67.88,1447.3,35.42,182.6,8.1,Weathered Regolith / Phyllite,151.5,193.4,0.646,21.79,0.771,3
25.74154,91.94525,46.14,580.8,38.8,46.6,8.4,Weathered Regolith / Phyllite,7.4,118.9,0.396,14.0,0.907,3
25.74429,91.88747,63.94,1223.5,44.03,313.8,6.8,Colluvial Debris,118.0,211.8,0.641,23.22,0.646,3
25.84601,91.90808,62.16,1152.3,34.0,128.8,7.37,Granite Gneiss,50.5,169.1,0.561,18.92,0.899,3
25.89222,91.86054,41.91,447.1,26.29,225.4,8.45,Shillong Quartzite,0.4,70.5,0.325,8.87,1.559,1
25.88951,91.92062,51.62,808.2,50.28,57.2,9.06,Colluvial Debris,26.9,173.8,0.645,20.1,0.657,3
25.86057,91.92048,48.48,705.1,35.13,74.2,7.05,Shillong Quartzite,8.3,61.2,0.303,7.32,1.209,2
25.82335,91.88777,49.13,737.0,29.69,357.1,9.85,Granite Gneiss,3.1,159.1,0.515,18.85,1.053,3
25.67272,91.94688,69.49,1501.9,43.53,271.1,8.16,Weathered Regolith / Phyllite,34.2,127.9,0.491,14.85,0.776,3
25.69364,91.83632,59.28,1013.9,39.23,346.3,8.63,Shillong Quartzite,4.0,43.9,0.281,6.12,1.121,2
25.89261,91.8222,61.53,1105.4,39.04,106.5,6.28,Weathered Regolith / Phyllite,16.4,87.6,0.364,9.82,1.02,2
25.81374,91.92012,69.3,1327.8,40.53,59.2,7.15,Weathered Regolith / Phyllite,28.0,136.7,0.567,15.39,0.825,3
25.65248,91.92493,51.32,762.4,48.02,181.1,5.75,Weathered Regolith / Phyllite,22.6,112.2,0.488,12.23,0.769,3
25.6774,91.83563,64.06,1224.2,43.88,178.1,7.26,Weathered Regolith / Phyllite,106.4,228.3,0.626,24.0,0.646,3
25.82915,91.85453,53.04,828.3,29.57,63.0,9.79,Weathered Regolith / Phyllite,43.1,174.2,0.638,20.43,1.007,3
25.65137,91.82228,66.09,1267.5,27.32,264.0,6.83,Weathered Regolith / Phyllite,41.7,159.5,0.524,17.68,1.197,2
25.69342,91.85813,45.42,593.3,47.37,130.2,7.64,Granite Gneiss,12.3,58.2,0.354,7.25,0.92,3
25.79816,91.92051,68.43,1379.6,54.14,67.1,5.05,Weathered Regolith / Phyllite,0.2,110.2,0.502,11.73,0.704,3
25.83681,91.88733,46.56,594.3,42.99,119.5,8.18,Granite Gneiss,37.1,139.6,0.52,16.11,0.752,3
25.82603,91.86525,49.79,748.6,38.77,202.9,6.84,Shillong Quartzite,309.6,365.1,0.85,24.0,0.661,3
25.71055,91.86833,62.69,1171.1,41.76,261.5,6.42,Shillong Quartzite,14.6,118.5,0.475,13.15,0.861,3
